EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
1	12:11:32	0	0.1000	0.8578979671001434	0.6743201017379761	0.7667	0.7667	0.7667
2	12:11:35	1	0.1000	0.5964643470942974	0.9560748934745789	0.7667	0.7667	0.7667
3	12:11:39	2	0.1000	0.7164953947067261	0.8111155033111572	0.631	0.631	0.631
4	12:11:41	0	0.1000	0.6955748945474625	0.6557310819625854	0.7683	0.7683	0.7683
5	12:11:45	1	0.1000	0.4170337840914726	0.8837898373603821	0.7667	0.7667	0.7667
6	12:11:47	2	0.1000	0.515328973531723	0.7422454953193665	0.762	0.762	0.762
7	12:11:50	3	0.1000	0.5187746956944466	0.7190904021263123	0.6867	0.6867	0.6867
8	12:11:52	4	0.1000	0.5982915982604027	0.6248732209205627	0.7617	0.7617	0.7617
9	12:11:55	5	0.1000	0.612424686551094	0.6891040205955505	0.7567	0.7567	0.7567
10	12:11:58	6	0.1000	0.5021071285009384	0.7401565313339233	0.7427	0.7427	0.7427
11	12:12:00	1	0.0500	0.2585704028606415	0.7216285467147827	0.7317	0.7317	0.7317
12	12:12:03	2	0.0500	0.3100317493081093	0.7280484437942505	0.728	0.728	0.728
13	12:12:06	3	0.0500	0.29874955862760544	0.8158363699913025	0.651	0.651	0.651
14	12:12:08	4	0.0500	0.2932293191552162	0.7243504524230957	0.73	0.73	0.73
15	12:12:11	5	0.0500	0.2784295007586479	0.6957404017448425	0.7187	0.7187	0.7187
